City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
318,Vostok,RU,46.4856,135.8833,60.85,94,98,2.8,overcast clouds
319,Gloversville,US,43.0528,-74.3438,81.41,52,0,3.44,clear sky
320,Bonavista,CA,48.6499,-53.1147,60.28,68,84,14.97,broken clouds
321,Hamilton,US,39.1834,-84.5333,88.5,53,0,4.0,clear sky
322,Byron Bay,AU,-28.65,153.6167,51.94,83,61,13.38,light rain
323,Sawtell,AU,-30.3833,153.1,57.18,82,75,14.97,broken clouds
324,Diffa,NE,13.3154,12.6113,88.5,42,83,10.65,broken clouds
325,Cabedelo,BR,-6.9811,-34.8339,77.56,79,13,16.06,few clouds
326,Flinders,AU,-34.5833,150.8552,53.19,88,61,5.01,broken clouds
327,Vila Velha,BR,-20.3297,-40.2925,72.95,85,70,9.22,broken clouds
328,Dandong,CN,40.1292,124.3947,67.26,96,61,4.09,broken clouds
329,Nouadhibou,MR,20.931,-17.0347,68.49,91,4,15.9,clear sky
330,Bethel,US,41.3712,-73.414,84.04,42,0,5.75,clear sky
331,Koungou,YT,-12.7336,45.2042,71.31,73,0,4.61,clear sky
332,Prince Rupert,CA,54.3161,-130.3201,55.49,88,100,17.27,light rain
333,Mount Isa,AU,-20.7333,139.5,44.37,65,0,5.75,clear sky
334,Taylorville,US,39.5489,-89.2945,83.79,57,75,0.0,broken clouds
335,Gold Coast,AU,-28.0,153.4333,55.47,87,40,9.22,scattered clouds
336,Gorin,RU,51.1983,136.6669,64.13,95,42,2.75,scattered clouds
337,Monywa,MM,22.1167,95.1333,84.4,64,86,10.89,overcast clouds
338,Jining,CN,35.405,116.5814,73.6,89,2,6.6,clear sky
339,Fortuna,US,40.5982,-124.1573,70.93,75,20,4.0,few clouds
340,Laramie,US,41.3114,-105.5911,88.18,18,40,18.41,scattered clouds
341,Mountain Home,US,43.133,-115.6912,85.48,20,0,19.57,clear sky
342,Manavalakurichi,IN,8.1333,77.3,79.3,80,100,17.22,overcast clouds
343,Spanish Town,JM,17.9911,-76.9574,93.7,65,20,23.02,few clouds
344,Batsfjord,NO,70.6345,29.7185,56.98,76,0,5.75,clear sky
345,Nhulunbuy,AU,-12.2333,136.7667,68.61,83,78,5.75,broken clouds
346,Saint-Ambroise,CA,48.5501,-71.3324,81.57,32,61,6.58,broken clouds
347,Mount Gambier,AU,-37.8333,140.7667,48.16,60,100,11.99,overcast clouds
