City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Bestobe,KZ,2022-07-09 16:54:27,52.4994,73.0975,70.56,54,68,6.98
277,Qaanaaq,GL,2022-07-09 16:54:27,77.484,-69.3632,42.64,77,99,0.49
278,Savannah Bight,HN,2022-07-09 16:54:27,16.45,-85.85,82.36,77,80,14.34
279,Saint George,US,2022-07-09 16:49:34,37.1041,-113.5841,95.63,14,0,1.99
280,Bandarbeyla,SO,2022-07-09 16:54:28,9.4942,50.8122,80.11,62,64,29.24
281,Karratha,AU,2022-07-09 16:54:28,-20.7377,116.8463,63.23,47,5,4.88
282,Aleksandrov Gay,RU,2022-07-09 16:54:28,50.147,48.5704,82.85,31,13,7.99
283,Yulara,AU,2022-07-09 16:54:28,-25.2406,130.9889,43.61,57,0,7.9
284,Okhotsk,RU,2022-07-09 16:54:29,59.3833,143.3,60.13,71,47,4.65
285,Waingapu,ID,2022-07-09 16:54:29,-9.6567,120.2641,74.91,85,67,12.08
286,Danville,US,2022-07-09 16:54:29,36.586,-79.395,89.44,69,83,5.01
287,Port Pirie,AU,2022-07-09 16:54:29,-33.1833,138.0167,43.56,75,0,6.11
288,Imeni Poliny Osipenko,RU,2022-07-09 16:54:30,52.4201,136.4853,69.48,90,39,3.74
289,Maryville,US,2022-07-09 16:52:37,35.7565,-83.9705,80.74,78,75,10.36
290,Narsaq,GL,2022-07-09 16:54:30,60.9167,-46.05,49.51,76,100,5.3
291,Khandyga,RU,2022-07-09 16:54:30,62.6667,135.6,55.29,74,98,3.71
292,Concepcion,CL,2022-07-09 16:54:31,-36.827,-73.0498,51.6,93,100,14.97
